egID	Symbol	Name	Location	class_type	Alias
58	ACTA1	actin, alpha 1, skeletal muscle	1q42.13	#	NEM3; nemaline myopathy type 3; ACTA; ASMA; CFTD1; Alpha-actin-1; Actin, alpha skeletal muscle
60	ACTB	actin beta	7p22.1	Chromatin remodelling cofactor	BRWS1; PS1TP5BP1; PS1TP5-binding protein 1; beta cytoskeletal actin; Beta-actin; Actin, cytoplasmic 1
86	ACTL6A	actin like 6A	3q26.33	Chromatin remodelling cofactor	BAF53A; INO80K; BAF complex 53 kDa subunit; BRG1-associated factor; actin-related protein 4; INO80 complex subunit K; ARPN-BETA; 53 kDa BRG1-associated factor A; BAF53; BRG1-associated factor 53A; actin-related protein Baf53a; arpNbeta; hArpN beta; Actin-like protein 6A
51412	ACTL6B	actin like 6B	7q22.1	Chromatin remodelling cofactor	BAF53B; actin-like 6; 53 kDa BRG1-associated factor B; BRG1-associated factor 53B; actin-related protein Baf53b; arpNalpha; hArpN alpha; Actin-like protein 6B
79913	ACTR5	ARP5 actin related protein 5 homolog	20q11.23	Chromatin remodelling	FLJ12785; INO80M; INO80 complex subunit M; ARP5 (actin-related protein 5, yeast) homolog; hARP5; sarcoma antigen NY-SAR-16; Actin-related protein 5
64431	ACTR6	ARP6 actin related protein 6 homolog	12q23.1	Chromatin remodelling cofactor	FLJ13433; HSPC281; MSTP136; hARP6; hARPX; Actin-related protein 6
93973	ACTR8	ARP8 actin related protein 8 homolog	3p21.1	Histone modification read	INO80N; INO80 complex subunit N; ARP8 (actin-related protein 8, yeast) homolog; hArp8; Actin-related protein 8
23394	ADNP	activity dependent neuroprotector homeobox	20q13.13	Chromatin remodelling cofactor	KIAA0784; ADNP1; ADNP homeobox 1; activity-dependent neuroprotector; HVDAS; MRD28; activity-dependent neuroprotective protein; Activity-dependent neuroprotector homeobox protein
121536	AEBP2	AE binding protein 2	12p12.3	Histone modification write cofactor	MGC17922; AE(adipocyte enhancer)-binding protein 2; AE-binding protein 2; adipocyte enhancer-binding protein 2; Zinc finger protein AEBP2
57379	AICDA	activation induced cytidine deaminase	12p13.31	DNA modification	HIGM2; CDA2; AID; epididymis secretory protein Li 284; integrated into Burkitt's lymphoma cell line Ramos; Single-stranded DNA cytosine deaminase
326	AIRE	autoimmune regulator	21q22.3	Histone modification read	PGA1; autoimmune polyendocrinopathy candidiasis ectodermal dystrophy; APECED; autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy); AIRE1; APSI; autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein; APECED protein
8165	AKAP1	A-kinase anchoring protein 1	17q22	#	AKAP121; AKAP149; SAKAP84; S-AKAP84; AKAP84; D-AKAP1; PPP1R43; TDRD17; protein kinase anchoring protein 1; dual specificity A-kinase-anchoring protein 1; protein phosphatase 1, regulatory subunit 43; tudor domain containing 17; PRKA1; AKAP21; A-kinase anchor protein 149 kDa; AKAP 149; D-AKAP-1; dual-specificity A-kinase anchoring protein 1; protein kinase A anchoring protein 1; protein kinase A1; spermatid A-kinase anchor protein 84; Protein kinase A-anchoring protein 1; A-kinase anchor protein 1, mitochondrial
8846	ALKBH1	alkB homolog 1, histone H2A dioxygenase	14q24.3	Histone modification	hABH; alkB; ABH; ALKBH; alkB, alkylation repair homolog (E. coli); alkB, alkylation repair homolog 1 (E. coli); ABH1; DNA lyase ABH1; DNA oxidative demethylase ALKBH1; alkB, alkylation repair homolog 1; alkylation repair, alkB homolog; alpha-ketoglutarate-dependent dioxygenase ABH1; Alkylated DNA repair protein alkB homolog 1
221120	ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	11p11.2	#	DEPC-1; alkB, alkylation repair homolog 3 (E. coli); ABH3; DEPC1; alkB, alkylation repair homolog 3; alkylated DNA repair protein alkB homolog 3; prostate cancer antigen 1; prostate cancer antigen-1; Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
339	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	12p13.31	DNA modification	CDAR1; APOBEC-1; HEPR; apolipoprotein B mRNA editing enzyme complex-1; apolipoprotein B mRNA-editing enzyme 1; mRNA(cytosine(6666)) deaminase 1; C->U-editing enzyme APOBEC-1
8289	ARID1A	AT-rich interaction domain 1A	1p36.11	Chromatin remodelling cofactor	B120; C10rf4; BAF250; BAF250a; C1orf4; SMARCF1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily f, member 1; AT rich interactive domain 1A (SWI- like); BM029; ELD; MRD14; OSA1; hELD; hOSA1; ARID domain-containing protein 1A; BRG1-associated factor 250a; OSA1 nuclear protein; SWI-like protein; SWI/SNF complex protein p270; SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1; brain protein 120; chromatin remodeling factor p250; osa homolog 1; BRG1-associated factor 250; AT-rich interactive domain-containing protein 1A
