"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mdk",0,2.01483456550416,1,0.705,0
"Bex1",0,1.90828018291054,0.996,0.715,0
"Rpl10",0,1.66930936684719,1,0.777,0
"Bex4",0,1.65559243181371,0.995,0.681,0
"Npm1",0,1.64418280862078,1,0.925,0
"Stmn1",0,1.64414300697742,0.998,0.763,0
"Tubb5",0,1.62408301649858,1,0.815,0
"Kcnq1ot1",0,1.54996074776184,0.97,0.673,0
"Mif",0,1.50600257492516,1,0.874,0
"Hmgn1",0,1.47149253354733,1,0.838,0
"H19",0,1.42658034269227,0.978,0.638,0
"Ftl1",0,1.35004852620062,1,0.967,0
"Ppia",0,1.33109822445475,1,0.986,0
"Tmsb10",0,1.32283812590205,0.999,0.794,0
"Gapdh",0,1.315913126726,1,0.947,0
"Hmga2",0,1.30050713278382,0.992,0.644,0
"Rpl35",0,1.29039515112913,1,0.712,0
"Ran",0,1.24084846664599,1,0.891,0
"Hnrnpa1",0,1.23820136098161,1,0.817,0
"Sumo2",0,1.23161897770583,1,0.902,0
"Nasp",0,1.22592993984969,0.995,0.723,0
"Sox11",0,1.20029236737005,0.979,0.585,0
"Vim",0,1.19277942726878,0.847,0.575,0
"H2afz",0,1.18181246995974,1,0.966,0
"Cdk4",0,1.17866313022062,1,0.769,0
"Ptma",0,1.17213002381922,1,0.993,0
"Ranbp1",0,1.15167106910733,0.999,0.826,0
"Nap1l1",0,1.14301890601179,0.998,0.753,0
"Set",0,1.13821877877266,1,0.9,0
"Cenpf",0,1.11819763566659,0.737,0.416,0
"Phgdh",0,1.10460338021365,0.974,0.594,0
"Rps27a",0,1.10276070819547,1,0.995,0
"Tuba1b",0,1.10064631678229,0.995,0.799,0
"Rps4x",0,1.10061191281363,1,0.987,0
"Hmgn2",0,1.09395111326165,0.988,0.638,0
"Rps2",0,1.09385879176323,1,0.989,0
"Siva1",0,1.08899004027765,0.987,0.659,0
"Fkbp3",0,1.08625977185357,0.996,0.748,0
"Naca",0,1.08564766072163,1,0.968,0
"Hmgb2",0,1.08362968375289,0.985,0.798,0
"Ppp1r14b",0,1.0762771349849,1,0.784,0
"Rpl15",0,1.07382092678769,1,0.993,0
"Hspd1",0,1.07147494364022,0.999,0.854,0
"Selenoh",0,1.06759380057419,0.982,0.652,0
"Rpl3",0,1.04340003091761,1,0.983,0
"Cks1b",0,1.04301061509304,0.962,0.579,0
"Hmgb1",0,1.03948580379713,1,0.948,0
"Tceal9",0,1.03525836793722,1,0.885,0
