"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chga",0,4.18094316720149,1,0.467,0,"EE-EC","Chga"
"Tph1",0,3.63698843366356,0.995,0.176,0,"EE-EC","Tph1"
"S100a6",0,3.15465706352575,0.896,0.119,0,"EE-EC","S100a6"
"Krt7",0,2.95455195246783,0.977,0.238,0,"EE-EC","Krt7"
"Stxbp5l",0,2.57294767150547,0.956,0.105,0,"EE-EC","Stxbp5l"
"Cartpt",0,2.45128289081902,0.673,0.041,0,"EE-EC","Cartpt"
"Serpina1c",0,2.44844483303057,0.81,0.072,0,"EE-EC","Serpina1c"
"Ambp",0,2.43210313868864,0.901,0.172,0,"EE-EC","Ambp"
"Hbegf",0,1.93607581998649,0.859,0.113,0,"EE-EC","Hbegf"
"Ccnd2",0,1.88715049700328,0.846,0.123,0,"EE-EC","Ccnd2"
"Snap25",0,1.88587144044328,0.951,0.144,0,"EE-EC","Snap25"
"Serpina1e",0,1.86662589594246,0.695,0.048,0,"EE-EC","Serpina1e"
"Syt7",0,1.75775636037913,0.925,0.212,0,"EE-EC","Syt7"
"Hspb1",0,1.72414559618845,0.699,0.045,0,"EE-EC","Hspb1"
"Trpm2",0,1.65402575515075,0.888,0.048,0,"EE-EC","Trpm2"
"Slc18a1",0,1.55145791516298,0.865,0.093,0,"EE-EC","Slc18a1"
"Ctsl",0,1.47587191634639,0.807,0.118,0,"EE-EC","Ctsl"
"Scn3a",0,1.45221622728387,0.872,0.103,0,"EE-EC","Scn3a"
"Ssfa2",0,1.4474276502636,0.809,0.072,0,"EE-EC","Ssfa2"
"Slc20a1",0,1.4242460080525,0.64,0.04,0,"EE-EC","Slc20a1"
"Nt5e",0,1.42334874007713,0.833,0.083,0,"EE-EC","Nt5e"
"Gsdma",0,1.37895883475805,0.773,0.063,0,"EE-EC","Gsdma"
"Slc38a11",0,1.37603405283957,0.797,0.015,0,"EE-EC","Slc38a11"
"Itpr3",0,1.3639163110197,0.84,0.133,0,"EE-EC","Itpr3"
"Gm32585",0,1.35719565656469,0.499,0.016,0,"EE-EC","Gm32585"
"Ffar2",0,1.34901791615539,0.749,0.099,0,"EE-EC","Ffar2"
"Shisa2",0,1.28782016922161,0.724,0.058,0,"EE-EC","Shisa2"
"Kcnc1",0,1.2573947950014,0.736,0.043,0,"EE-EC","Kcnc1"
"Rasal2",0,1.246775488805,0.755,0.039,0,"EE-EC","Rasal2"
"Ptprn",0,1.12852264701792,0.731,0.109,0,"EE-EC","Ptprn"
"Tubb2b",0,1.1174977340634,0.694,0.085,0,"EE-EC","Tubb2b"
"Syn2",0,1.09514665145541,0.71,0.046,0,"EE-EC","Syn2"
"Lmx1a",0,1.05959445691518,0.677,0.012,0,"EE-EC","Lmx1a"
"Acadsb",0,0.902760897062393,0.626,0.06,0,"EE-EC","Acadsb"
