"","x"
"1","Set"
"2","Prmt1"
"3","Lmnb1"
"4","Cbx1"
"5","Smarcc1"
"6","Ezh2"
"7","Hdgf"
"8","Hells"
"9","Uhrf1"
"10","Trim28"
"11","Mbd3"
"12","Ruvbl1"
"13","Psip1"
"14","Hat1"
"15","Dnmt1"
"16","Smn1"
"17","Cbx5"
"18","Idh2"
"19","Yeats4"
"20","Actl6a"
"21","Prdm1"
"22","Smc1a"
"23","Ruvbl2"
"24","Rbbp4"
"25","Kdm5b"
"26","Hdac2"
"27","Smarce1"
"28","Mtf2"
"29","Smarca5"
"30","Rbbp7"
"31","Mta1"
"32","Smarcb1"
"33","Vps72"
"34","Prmt5"
"35","Ehmt1"
"36","Brd3"
"37","Pcgf6"
"38","Smyd2"
"39","Pole3"
"40","Carm1"
"41","Prmt3"
"42","Lbr"
"43","Suv39h2"
"44","Chrac1"
"45","Hdac3"
"46","Ctcf"
"47","Fxr1"
"48","Ash2l"
"49","Prmt7"
"50","Kat2a"
