"","x"
"1","Mdk"
"2","Bex1"
"3","Rpl10"
"4","Bex4"
"5","Npm1"
"6","Stmn1"
"7","Tubb5"
"8","Kcnq1ot1"
"9","Mif"
"10","Hmgn1"
"11","Ftl1"
"12","Ppia"
"13","Tmsb10"
"14","Gapdh"
"15","Hmga2"
"16","Rpl35"
"17","Ran"
"18","Hnrnpa1"
"19","Sumo2"
"20","Nasp"
"21","Vim"
"22","H2afz"
"23","Cdk4"
"24","Ptma"
"25","Ranbp1"
"26","Nap1l1"
"27","Set"
"28","Cenpf"
"29","Phgdh"
"30","Rps27a"
"31","Tuba1b"
"32","Rps4x"
"33","Hmgn2"
"34","Rps2"
"35","Siva1"
"36","Fkbp3"
"37","Naca"
"38","Hmgb2"
"39","Ppp1r14b"
"40","Rpl15"
"41","Hspd1"
"42","Selenoh"
"43","Rpl3"
"44","Cks1b"
"45","Hmgb1"
"46","Tceal9"
"47","Eif5a"
"48","Rps24"
"49","Slc25a4"
"50","Anp32b"
