"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tph1",0,1.60365781613374,0.993,0.459,0,"EE-EC H","Tph1"
"Stxbp5l",0,1.53807446058368,0.895,0.208,0,"EE-EC H","Stxbp5l"
"Trpm2",0,0.901423052150574,0.854,0.172,0,"EE-EC H","Trpm2"
"Slc38a11",0,0.823934203909228,0.767,0.118,0,"EE-EC H","Slc38a11"
"Cartpt",1.66745328277973e-299,1.3583656890927,0.652,0.119,2.8138274146908e-295,"EE-EC H","Cartpt"
"Hbegf",8.81688520034177e-294,1.08991087642956,0.805,0.219,1.48784937755767e-289,"EE-EC H","Hbegf"
"Ssfa2",4.96773022220121e-290,0.817215195385427,0.759,0.181,8.38304474996455e-286,"EE-EC H","Ssfa2"
"Rasal2",1.41743990474325e-289,0.703206861690962,0.717,0.147,2.39192983925423e-285,"EE-EC H","Rasal2"
"Snap25",3.35411140192363e-288,1.00235969037032,0.871,0.283,5.66006299074613e-284,"EE-EC H","Snap25"
"Slc20a1",3.29044069180051e-284,0.888861539338331,0.611,0.113,5.55261866741337e-280,"EE-EC H","Slc20a1"
"Serpina1c",2.00491454010386e-276,1.22611480425477,0.757,0.185,3.38329328642527e-272,"EE-EC H","Serpina1c"
"Chga",5.15556772078502e-264,1.3630206191907,0.999,0.696,8.70002052882472e-260,"EE-EC H","Chga"
"Scn3a",5.24361866485617e-254,0.769851598295253,0.821,0.24,8.84860649694479e-250,"EE-EC H","Scn3a"
"Ddhd1",1.14315520766087e-253,0.649083358539841,0.662,0.15,1.92907441292771e-249,"EE-EC H","Ddhd1"
"Nt5e",1.67818006528249e-251,0.755079781722251,0.769,0.2,2.8319288601642e-247,"EE-EC H","Nt5e"
"Syn2",6.7816091376718e-251,0.623999639582593,0.669,0.15,1.14439654198212e-246,"EE-EC H","Syn2"
"Kcnc1",2.73897158157372e-241,0.649554026846311,0.694,0.163,4.62201454390566e-237,"EE-EC H","Kcnc1"
"Shisa2",3.00614257153179e-227,0.695346185486345,0.676,0.168,5.07286558945989e-223,"EE-EC H","Shisa2"
"Syt7",3.36498276060828e-225,0.889486351148881,0.858,0.325,5.67840840852648e-221,"EE-EC H","Syt7"
"Fry",4.25444544218871e-219,0.521147070302005,0.624,0.144,7.17937668369344e-215,"EE-EC H","Fry"
"Krt7",6.13631166894043e-219,1.02497147143059,0.981,0.602,1.0355025941337e-214,"EE-EC H","Krt7"
"Itpr3",2.97228903654453e-217,0.723936493271145,0.779,0.25,5.0157377491689e-213,"EE-EC H","Itpr3"
"Chgb",4.52456197293158e-214,1.08103965890476,1,0.918,7.63519832932204e-210,"EE-EC H","Chgb"
"Neurod1",1.46048489230733e-212,0.905084931851715,0.984,0.655,2.46456825576862e-208,"EE-EC H","Neurod1"
"Gsdma",5.29536626235094e-211,0.669985142261742,0.715,0.19,8.9359305677172e-207,"EE-EC H","Gsdma"
"Serpina1e",3.40187198583053e-210,0.917949460223084,0.636,0.153,5.74065897608901e-206,"EE-EC H","Serpina1e"
"Lmx1a",1.43126335575392e-205,0.511632694638316,0.62,0.14,2.41525691283474e-201,"EE-EC H","Lmx1a"
"Col27a1",1.71581258261558e-205,0.662094912455933,0.538,0.114,2.89543373316379e-201,"EE-EC H","Col27a1"
"Cldn4",2.33400460977361e-200,0.838410057633422,0.793,0.306,3.93863277899297e-196,"EE-EC H","Cldn4"
"Klf4",1.7034376835402e-196,0.973656667166274,0.931,0.571,2.87455109097409e-192,"EE-EC H","Klf4"
"Acadsb",8.76331724355856e-195,0.532311291208967,0.598,0.15,1.47880978485051e-190,"EE-EC H","Acadsb"
"Hspb1",1.07744621589071e-194,0.813966816039028,0.639,0.167,1.81819048931558e-190,"EE-EC H","Hspb1"
"Slc18a1",5.66908672690716e-194,0.656501220614224,0.798,0.263,9.56658385165582e-190,"EE-EC H","Slc18a1"
"S100a6",3.46083751091179e-192,1.08937518058057,0.896,0.401,5.84016329966365e-188,"EE-EC H","S100a6"
"Cfb",3.6673543987383e-192,0.477348687184421,0.556,0.132,6.18866054787088e-188,"EE-EC H","Cfb"
"Gm32585",9.7339652446655e-187,0.751034772547051,0.47,0.091,1.6426066350373e-182,"EE-EC H","Gm32585"
"Errfi1",1.64453358249552e-186,0.832612943638427,0.921,0.517,2.77515042046119e-182,"EE-EC H","Errfi1"
"Ttyh1",4.57398109139372e-184,0.571103673833581,0.578,0.146,7.7185930917269e-180,"EE-EC H","Ttyh1"
"Cdk14",5.22267279665061e-183,0.373377044938905,0.444,0.081,8.81326034434791e-179,"EE-EC H","Cdk14"
"Ccnd2",1.80521933198093e-182,0.767435816755572,0.803,0.283,3.04630762271781e-178,"EE-EC H","Ccnd2"
"Asph",1.86536119459261e-182,0.684020700454665,0.806,0.326,3.14779701587503e-178,"EE-EC H","Asph"
"Sorl1",1.26299505248209e-181,0.561172070646209,0.634,0.182,2.13130415106353e-177,"EE-EC H","Sorl1"
"Ambp",2.93756998964301e-181,0.983390763849625,0.895,0.435,4.95714935752258e-177,"EE-EC H","Ambp"
"Nedd9",1.38366154066712e-179,0.582244136296882,0.499,0.112,2.33492884987577e-175,"EE-EC H","Nedd9"
"Lcorl",1.42499901247924e-169,0.77544922592395,0.827,0.415,2.40468583355871e-165,"EE-EC H","Lcorl"
"Vgf",7.4036893140344e-169,0.589030644094445,0.624,0.183,1.24937257174331e-164,"EE-EC H","Vgf"
"Ctsl",1.42637176290889e-166,0.696913250083307,0.743,0.279,2.40700234990876e-162,"EE-EC H","Ctsl"
"Mgll",9.21567632905134e-166,0.824336152328051,0.795,0.345,1.55514538052741e-161,"EE-EC H","Mgll"
"Ceacam20",7.39413717166353e-165,0.411141061312267,0.49,0.112,1.24776064771822e-160,"EE-EC H","Ceacam20"
"Tubb2b",5.71056948278751e-164,0.605007360368382,0.64,0.201,9.63658600220393e-160,"EE-EC H","Tubb2b"
"Shisa9",9.40542574824944e-164,0.332737065834933,0.314,0.043,1.58716559501709e-159,"EE-EC H","Shisa9"
"Slc5a4b",2.3686355340425e-161,0.396035909456429,0.37,0.063,3.99707246369672e-157,"EE-EC H","Slc5a4b"
"Krt19",9.55824668970049e-159,0.831233140776068,0.962,0.602,1.61295412888696e-154,"EE-EC H","Krt19"
