,names,scores,logfoldchanges,pvals,pvals_adj
0,Birc5,47.783634,2.0685806,0.0,0.0
1,Cks2,46.076927,1.9528673,0.0,0.0
2,Ube2c,45.899914,2.6166725,0.0,0.0
3,Cdk1,44.26083,2.0428174,0.0,0.0
4,Top2a,43.965885,2.0500262,0.0,0.0
5,Cdca8,42.056698,1.8906273,4.723e-321,1.401236e-317
6,Spc24,40.750607,1.7652746,2.5692546417718576e-307,6.5332475176484375e-304
7,Smc4,39.651722,1.740388,7.235854064009737e-290,1.4310911371041479e-286
8,Aurkb,39.51122,2.2322338,7.151299596639387e-292,1.5911641602522635e-288
9,H2afx,39.47222,1.6149913,1.6616809006298188e-289,2.957792003121077e-286
10,Hmgb2,38.80962,1.3867928,9.289505132818075e-269,1.2719476258781672e-265
11,Cks1b,38.783527,1.3914274,5.3931189058388594e-275,8.727046956721063e-272
12,Prc1,37.886032,2.2447073,1.0505704281792875e-271,1.55834613513261e-268
13,Tpx2,37.491043,2.1334653,4.822692911045415e-267,5.722928921107226e-264
14,Cenpf,37.378742,2.0334752,3.747707308402611e-265,4.1693243805979044e-262
15,Hist1h1b,37.12561,2.1738484,2.5356227855614444e-261,2.6549462107643356e-258
16,Lgals2,36.97101,1.5985703,3.5140613119202144e-251,3.292120597483148e-248
17,Pclaf,36.578663,1.768223,3.6924750297706257e-255,3.6514475294398405e-252
18,Incenp,35.783592,1.9928304,2.2413019011546587e-246,1.9947586920276462e-243
19,Spc25,35.50761,1.9573126,6.339008822435958e-243,5.373064620921908e-240
20,Hist1h2ap,35.257572,2.271062,8.75134837189002e-236,7.080636409983743e-233
21,Smc2,35.00761,1.4944979,1.6521846176529903e-233,1.176355447768929e-230
22,Ube2s,34.858673,1.2877029,1.230237411180838e-230,8.422394584238044e-228
23,Ccna2,34.819405,1.8124897,7.905642592166233e-235,6.118279919154737e-232
24,Cdca3,34.754795,1.8447566,4.41729145956624e-234,3.2761578325116283e-231
25,Tubb4b,34.689484,1.338924,5.311463422056113e-229,3.5016314412073635e-226
26,Tuba1b,33.66667,1.1778427,7.878324959031506e-213,4.835661526577959e-210
27,Ccnb1,33.53214,1.9300958,1.882696770707643e-219,1.1968572328070017e-216
28,Lsm3,32.924812,1.2198172,1.7649803633786913e-209,1.0472216822713569e-206
29,Bub3,32.54582,1.3347889,2.191475832049054e-207,1.2583312842088115e-204
30,Lsm2,31.979465,1.208143,3.9062888515411153e-199,2.1070285320433894e-196
31,Plk1,31.943348,2.2832482,6.7813448578155e-200,3.772123077159872e-197
32,Aurka,31.579674,2.197395,1.8234060400908494e-195,9.54606691576974e-193
33,Nusap1,31.412464,2.1271338,1.1555259640347826e-194,5.876674902805465e-192
34,Hist1h2ae,31.393139,1.993453,2.2224762193702767e-194,1.0988910195775257e-191
35,Pimreg,31.281929,2.0729697,1.3055922513173363e-192,6.280957317148267e-190
36,Selenoh,30.555168,1.0897286,9.279731685163752e-181,4.129480599897869e-178
37,Tubb5,30.508904,0.99487656,3.2927118903060175e-178,1.3954826582725504e-175
38,Cenpe,30.48519,1.6570817,3.1360698267282266e-185,1.4690011293621692e-182
39,Fbxo5,30.377783,1.6867957,3.474658455800986e-184,1.5858697567501934e-181
40,H2afz,30.357185,1.0064845,3.5679093497521014e-176,1.4769485215252886e-173
41,Hmmr,30.136671,2.1159444,1.2368164772513742e-180,5.369593486603526e-178
42,Arl6ip1,29.526197,1.2813679,1.6074774313334885e-174,6.502976881303658e-172
43,Plac8,29.514292,1.4327692,8.056890262398116e-174,3.1869477037930328e-171
44,Tacc3,28.515387,1.6139265,2.969929208730353e-164,1.1492334764217453e-161
45,Cdc20,28.47101,1.7329865,1.4592042477418475e-163,5.526348002086146e-161
46,Pitx1,28.205786,1.3807371,7.109237761219046e-161,2.636342336452063e-158
47,Tuba1c,28.129433,1.4964234,4.0428047400391765e-160,1.468610701483619e-157
48,Bub1b,28.013866,1.7323576,5.141295984423338e-159,1.8303013704547086e-156
49,Mis18bp1,27.977491,1.781321,1.1298704501173852e-158,3.9434694141351874e-156
50,Nsmce4a,27.869549,1.0242531,8.294460068978009e-156,2.6843888950510646e-153
51,Kif20a,27.825184,1.9893352,4.114387399882799e-156,1.356223994776182e-153
52,Kif22,27.824804,1.9123796,1.469771396431488e-156,5.03114054932317e-154
53,Ccdc34,27.60906,1.0123718,9.922563155172907e-152,3.045200416587547e-149
54,Tyms,27.372839,1.1764144,9.772170998808057e-152,3.045200416587547e-149
55,Jpt1,27.362726,0.9880085,5.303561969469481e-150,1.573390050942613e-147
56,Lyar,27.332056,1.0445603,1.9915411274727826e-150,6.0083783167822934e-148
57,Rfc4,27.321531,1.2098298,9.566923596744225e-152,3.0409150003937e-149
58,Depdc1a,27.020176,1.7238921,8.59035104685345e-149,2.506692600557236e-146
59,Rfc5,26.956306,1.2931294,3.328810786360742e-148,9.556908386648583e-146
60,Racgap1,26.58828,1.6983607,1.428761556696926e-144,4.036818366540521e-142
61,Gsto1,26.461142,1.0397202,2.6311898304986856e-142,7.205412151211785e-140
62,Pbk,26.43351,1.8616726,1.2468234595402006e-142,3.467727746846183e-140
63,Ranbp1,26.302294,0.91908795,1.165418294507256e-137,2.8417048824971444e-135
64,Calm2,26.256704,0.8975703,8.119336876850837e-138,2.0355520620837312e-135
