,names,scores,logfoldchanges,pvals,pvals_adj
0,Rps2,66.73205,1.50179,0.0,0.0
1,Stmn1,65.707436,3.044769,0.0,0.0
2,Ptma,65.64552,1.5028151,0.0,0.0
3,Rpl13,59.812435,1.0922948,0.0,0.0
4,Hmgb2,58.793396,2.938719,0.0,0.0
5,Cps1,58.054886,3.047836,0.0,0.0
6,C1qbp,55.885483,2.1975849,0.0,0.0
7,Rplp0,55.759365,1.2086928,0.0,0.0
8,Tspan8,55.499092,2.4276226,0.0,0.0
9,Hspd1,55.294434,2.0504515,0.0,0.0
10,Ranbp1,54.962242,1.9317786,0.0,0.0
11,Aldh1b1,53.129814,2.3443727,0.0,0.0
12,Hmgb1,53.10753,1.7595016,0.0,0.0
13,Ran,52.08288,1.710157,0.0,0.0
14,Oat,51.872536,2.474407,0.0,0.0
15,Npm1,51.864796,1.8137839,0.0,0.0
16,H2afz,51.71939,1.6605011,0.0,0.0
17,Rpl32,51.660156,1.0708536,0.0,0.0
18,Ncl,50.86156,1.8006128,0.0,0.0
19,Ccdc34,50.838234,2.3907936,0.0,0.0
20,Rps8,50.361805,1.25514,0.0,0.0
21,Tuba1b,50.196194,2.2443793,0.0,0.0
22,Dctpp1,49.93299,2.0916295,0.0,0.0
23,Rpsa,49.637936,1.2453982,0.0,0.0
24,Rps20,49.196697,1.0463978,0.0,0.0
25,Rps4x,49.180855,1.2299274,0.0,0.0
26,Rps23,49.128647,1.1670041,0.0,0.0
27,Nhp2,48.981583,2.1533127,0.0,0.0
28,Tubb5,48.977493,2.169028,0.0,0.0
29,Hspe1,48.343407,1.7611707,0.0,0.0
30,Snrpd1,48.243637,1.7051785,0.0,0.0
31,Ybx3,48.18641,1.9466864,0.0,0.0
32,Pycard,47.863476,2.2619064,0.0,0.0
33,Snrpf,47.289845,1.5535764,0.0,0.0
34,Rplp1,47.0242,1.0569835,0.0,0.0
35,Rps19,46.864666,1.2214919,0.0,0.0
