,names,scores,logfoldchanges,pvals,pvals_adj
0,Rps2,68.18461,3.3393335,6.520698678635404e-151,1.5719541457424635e-147
1,Rpl11,64.09665,2.3630033,1.8615009477244245e-161,1.5706414246424832e-157
2,Rplp2,62.919415,2.5674212,1.3416605185139109e-154,5.660130312480561e-151
3,Rpl18a,62.659702,2.592183,1.92538439287038e-151,6.498172325937532e-148
4,Rpl27a,62.445675,2.5748146,3.637524798092103e-148,6.820358996422694e-145
5,Rps3a1,61.568832,2.5763319,4.451051293636375e-151,1.2518581763352305e-147
6,Rack1,59.73651,2.8301902,3.2972730201775486e-140,3.9932826893372807e-137
7,Rpl8,59.621845,2.2211761,2.079382780954816e-148,4.3861980535765654e-145
8,Rpl28,58.84225,2.4797235,2.7813234599619076e-142,4.266803035168836e-139
9,Rps18,58.63716,2.6101248,3.3129456385612994e-140,3.9932826893372807e-137
10,Rpl14,57.75133,2.6870048,1.5702088113534196e-137,1.6560796057243096e-134
11,Rpl30,57.62134,2.5191617,8.538723514095774e-142,1.2007579941697182e-138
12,Rps3,56.23012,2.6830409,5.2895173267152825e-133,3.7191918703466826e-130
13,Rps8,56.14939,2.466004,1.5543563966514113e-133,1.1404245301518506e-130
14,Tmsb4x,56.10658,3.2384298,4.3288566472610107e-134,3.4785455201204547e-131
15,Rpl23,55.74934,2.4462674,4.783657435405384e-136,4.4380296492348364e-133
16,Rplp1,55.509933,2.3715458,9.43607378258636e-136,7.961687254057241e-133
17,Rps7,55.32832,2.8507435,1.7648658152238817e-130,1.0636468082822502e-127
18,Rpl13,55.22204,2.2548077,1.248821710662529e-133,9.579030167013718e-131
19,Rpl18,55.18575,2.2660556,5.679103714317373e-138,6.388991678607044e-135
20,Rps4x,55.076332,3.0233197,7.145533612837145e-127,3.653966052018995e-124
21,Rpl5,54.516205,2.7772138,1.2876197051734323e-130,8.047623157333952e-128
22,Rpl10a,54.0362,2.521351,3.432982197969355e-132,2.2281374842589564e-129
23,Rps6,53.93269,2.7510843,9.282020701428922e-129,5.221136644553769e-126
24,Rplp0,53.207695,2.7969885,8.523053383589224e-123,3.687859637129953e-120
25,Rps23,52.022984,2.514531,1.332953637032088e-124,6.426740749976137e-122
26,Rpl3,51.282032,2.916023,1.2427643131440634e-119,4.369093288397098e-117
27,Rps11,51.21684,2.6149583,2.13930666242164e-121,8.595428554372661e-119
28,Rps20,51.215076,2.547897,7.86466431655773e-121,2.8851350074328627e-118
29,Rpl22,50.773903,2.9625585,3.16937192546812e-118,1.0914928824953985e-115
30,Rps16,50.557053,2.397186,7.010179453526091e-123,3.1130731125856e-120
31,Rps19,49.954338,2.5367193,4.606576098816166e-121,1.7274660370560622e-118
32,Rps15a,49.533077,2.7367704,8.474506176932054e-118,2.8601458347145684e-115
33,Eef1a1,49.324627,2.044508,1.5508184916325467e-123,7.072989742243034e-121
34,Rps27a,48.399235,2.4215465,1.0818996750859455e-116,3.380936484643579e-114
35,Rpl32,48.242973,2.5176823,5.650074869354598e-115,1.7335456985519789e-112
36,Rps5,47.890247,2.6435263,1.0525826705212468e-112,2.9551949098764456e-110
37,Rps21,47.721966,2.1764674,2.378673437337423e-121,9.334910291876514e-119
38,Rpl12,47.708405,2.8586357,1.0682482340886706e-112,2.9551949098764456e-110
39,Atp5b,47.269875,2.1586828,1.528913587434784e-121,6.292784582429752e-119
40,Ppia,47.25874,2.6043386,3.299946886256045e-114,9.769579597468555e-112
41,Rps13,46.423073,2.2930744,2.4962740894493922e-114,7.522254510617589e-112
42,Rpl21,45.53647,2.2977993,6.704014027249876e-111,1.7957180430133596e-108
43,Oat,45.45647,4.399605,1.6834247245158086e-100,3.3818800269290795e-98
44,Rpl9,44.945446,2.438625,2.7825551181765543e-108,7.223941172189131e-106
45,Rpl7,44.682007,2.7704542,4.587966822706317e-105,1.1385579431348398e-102
46,Rps15,44.117176,1.9521314,3.1614309426178996e-113,9.198128820116733e-111
47,Rps10,43.56867,2.4659202,1.194239256939792e-104,2.9206938349070995e-102
48,Rps14,43.381798,1.9822274,5.2216597567133256e-110,1.3768048186646464e-107
49,Rpsa,43.365574,2.3992248,2.0830091197014514e-102,4.565036220124934e-100
