,names,scores,logfoldchanges,pvals,pvals_adj
0,Gpx2,55.89684,5.2334976,4.864547891333835e-89,7.395427537500762e-87
1,Rpl7,47.950485,2.5982113,4.491642042140456e-86,6.316371621760016e-84
2,Rps24,46.42368,2.0762324,3.006844816318752e-92,5.074050627537894e-90
3,Rps27a,45.33154,2.2678137,2.104719954371722e-84,2.7202329078288484e-82
4,Rplp1,45.016647,2.4175797,5.906249342169187e-85,7.910155368976591e-83
5,Rack1,43.321888,2.4733384,6.55439858665047e-80,7.324865970180575e-78
6,Rpl23,42.54753,2.1784675,1.6876777331451197e-80,1.9506549141660203e-78
7,Rps19,42.396656,2.3188417,6.052913232724154e-79,6.589865213046459e-77
8,Rpl28,40.834915,2.1368845,7.49493885432671e-77,7.759330869126578e-75
9,Rps7,39.17525,2.379063,2.4904057837707716e-74,2.4867217515462587e-72
10,Rpl18a,37.898243,2.2104797,4.066212628216791e-71,3.72920315767165e-69
11,Rpl14,37.521275,2.3368413,2.1488213523566603e-70,1.888612516719721e-68
12,Rpl32,36.734734,2.1636107,1.606304544360061e-70,1.4266520624250543e-68
13,Rpl13,36.43066,1.9426216,1.9408673390386795e-69,1.6541483003170563e-67
14,Rps16,36.396004,2.1620805,3.1369040747065746e-69,2.6467628130336724e-67
15,Rps12,36.34199,2.105377,2.7305600059843493e-69,2.3154874422605978e-67
16,Rpl23a,36.019646,2.6568046,7.722170328129573e-67,5.950302478866966e-65
17,Rpl15,35.766544,2.2641046,5.9696175015947785e-68,4.819966284182387e-66
18,Rps5,35.50455,2.3852053,1.6638308566306388e-66,1.2647362930469382e-64
19,Rps23,34.951427,2.1908123,1.0351855828366394e-66,7.940343959258314e-65
20,Rps3,34.74364,2.2118096,2.2917904326950096e-66,1.718842824521257e-64
21,Rpl12,34.47135,2.5680897,1.2383223143149427e-64,8.930208997463529e-63
22,Eef1b2,34.321445,2.644686,8.787675891510688e-65,6.364464835589823e-63
23,Krt19,34.224045,3.192908,2.7803107037676054e-70,2.4309711464289296e-68
24,Rplp0,34.133526,2.6105375,9.044798980868188e-64,6.229836032740843e-62
25,Rplp2,33.684895,2.3178494,4.105998250004203e-64,2.8991096430469005e-62
26,Eef1g,33.518368,2.817307,9.023577359125737e-63,6.140034997388985e-61
27,Tspan8,33.266182,3.9690783,3.1396050784043482e-62,2.0776798312969952e-60
28,Rpsa,32.841812,2.3371677,3.08891652661333e-61,1.9234489441549794e-59
29,Rps2,32.634262,2.7423086,5.33977882293815e-61,3.312822339598577e-59
30,Rpl37,32.62142,1.9755876,5.198200165471647e-64,3.624778007947688e-62
31,Npm1,32.547928,3.5218554,1.3049502771029287e-59,7.672834817460599e-58
32,Rps15a,32.515266,2.2951496,1.0151887260023234e-62,6.852523900515684e-61
33,Rpl39,32.017197,2.3374329,1.0676964974987043e-61,6.824764543670696e-60
34,Rpl30,31.729801,1.9363334,4.707564690068657e-62,3.0910565815139527e-60
35,Rps10,31.67012,2.0286593,5.824126160885343e-62,3.7946767940131336e-60
36,Rpl19,31.57303,1.6585156,9.791016987626014e-63,6.635478380168233e-61
37,Rpl8,31.53871,1.8597736,6.402306801563688e-61,3.9286882645959e-59
38,Rpl4,31.214363,2.2647405,9.6209110076993e-60,5.716650466722736e-58
39,Rps27l,30.762453,2.457017,1.703360970821294e-58,9.517952444572628e-57
40,Rpl26,30.64763,1.4870608,1.1563833347447077e-62,7.77448955132149e-61
41,Rps6,30.585522,2.2133732,5.158361727928188e-59,2.950757768094514e-57
42,Rps25,30.268984,2.103177,9.073163516710342e-59,5.137907192768021e-57
43,Rps13,30.245173,1.7742612,3.3696413675251724e-60,2.0235835614586224e-58
44,Rps18,30.170431,2.2640073,4.073581153768335e-58,2.261239538481601e-56
45,Rps20,29.801235,1.8373909,4.5985043704204285e-59,2.6394476615933587e-57
46,Rps17,29.589005,2.2880967,3.5836000465414515e-57,1.9320527407471886e-55
47,Rps11,29.35513,2.400874,4.9935620979273945e-56,2.561512653909347e-54
48,Rpl7a,29.345123,2.3519914,2.205744420806124e-56,1.1488252191698564e-54
49,Rpl29,29.077013,2.1150277,1.1244670932352346e-56,5.9859249837049154e-55
50,Cox5a,28.973871,2.8186212,2.896725727024693e-55,1.4462203148976832e-53
51,Rpl27a,28.342522,2.061721,8.062651000936524e-55,3.9209577994467968e-53
52,Rpl35a,28.193972,1.8151953,1.0060583308440106e-55,5.0982685684662705e-54
53,Rpl34,27.996073,1.8618655,2.133902175165264e-55,1.0685341010656922e-53
54,Eif5a,27.859919,2.5639706,2.0892410961283084e-53,9.712381128695648e-52
55,Rpl18,27.815588,1.8901907,1.3811034022755503e-54,6.621056793579521e-53
56,S100a10,27.401619,3.4780455,1.9152004422180994e-52,8.527442602224388e-51
57,Rpl9,27.335735,1.9525808,1.0816121210250317e-53,5.056012338586541e-52
58,Naca,27.314487,2.1736937,2.7790346856602757e-53,1.2848276800141685e-51
59,Aprt,27.220224,4.33553,4.434148852624164e-51,1.8706565472008193e-49
60,Mif,26.995836,3.5969634,3.7373157487194634e-51,1.5806316606426302e-49
61,Rpl27,26.768858,2.2885122,1.008951741471077e-52,4.552422630300648e-51
62,Nme1,26.585642,3.1453207,7.630872566380701e-51,3.1953095423740524e-49
63,Ppia,26.461685,1.9744489,1.0799173290973785e-52,4.859627980938203e-51
64,Anxa2,26.349272,4.2751036,5.616597301146876e-50,2.2838573363097236e-48
65,Txn1,26.31632,2.0700219,1.7394432140679094e-52,7.785969293738984e-51
66,Hspe1,25.986311,3.2766953,1.4215716865382495e-49,5.73900052878779e-48
67,Tomm20,25.786211,3.2724693,2.5778332230619497e-49,1.0332763809779192e-47
68,Rpl11,25.772291,1.7522368,3.430037602417489e-51,1.4579819783575599e-49
69,Rps3a1,25.546333,1.6680285,1.8258331188408067e-51,7.780538858696619e-50
70,Rps4x,25.27877,2.3327472,3.900959367536236e-49,1.5562337902405196e-47
71,Rpl22,25.217136,2.4232786,7.811674154656369e-49,3.0799533027996784e-47
72,Rpl10a,25.180645,1.634236,4.658124424782394e-51,1.9602456276359824e-49
73,Eef1a1,24.879454,1.48639,1.1206590195814645e-50,4.669412581589435e-49
74,Nhp2,24.823576,5.1729064,9.223067058754e-47,3.3398982106539434e-45
75,Fau,24.69277,1.2663819,1.151312280856289e-51,4.94361189298979e-50
76,Tkt,24.678946,3.9139225,5.416073614848054e-47,1.9782736417870326e-45
77,C1qbp,24.39301,5.2798176,4.968622883726699e-46,1.7431499202263626e-44
78,Rps9,24.2326,1.9032217,1.5395954202858086e-47,5.7606813120450155e-46
79,Tmsb4x,24.190706,3.693705,5.531948013590814e-47,2.0162337522536712e-45
80,Rps14,24.08421,1.7218555,6.160811766142121e-48,2.3468103510981555e-46
81,Gapdh,24.023527,2.1487153,2.736161750184338e-47,1.0103441911238666e-45
82,Rpl36a,24.00959,2.8778236,2.203432359315491e-46,7.877737513442566e-45
83,Rpl31,23.92771,2.018019,2.697938022268478e-47,9.984145641618546e-46
84,Rpl41,23.889793,1.4461664,2.253766708537822e-48,8.723007616187098e-47
85,Rps8,23.708628,1.9768157,3.556741018348977e-46,1.2556486335698536e-44
86,Gpx1,23.581287,3.5027254,2.7694645448447555e-45,9.537696774337806e-44
87,Rps29,23.547007,1.583769,1.9247664182397248e-47,7.17007357787977e-46
88,Rpl17,23.458466,1.6545099,6.596876388197532e-47,2.3991872640265808e-45
89,Rpl35,23.286953,3.1497846,6.336519490574141e-45,2.1601770990593665e-43
90,Dbi,22.970097,2.6664157,2.897205163588253e-45,9.93706039340483e-44
91,Rpl24,22.929396,1.7366836,2.471944310097696e-45,8.530482665214441e-44
92,Slc25a3,22.673737,1.9627404,9.870792389565545e-45,3.3115232917280032e-43
93,Rpl5,22.638119,1.9376594,7.453763920997861e-45,2.525748316603191e-43
94,Rpl6,22.474564,1.657578,1.3207916746320904e-44,4.396126135979591e-43
95,Rpl38,22.15617,1.629859,1.57874088064043e-44,5.24434101590694e-43
96,Prdx6,22.151289,4.0209026,1.7940564509358415e-42,5.464747763455293e-41
97,Cct4,22.058357,3.2608564,1.1683158154228327e-42,3.5846053427746006e-41
98,Rps15,21.8708,1.7227325,2.637482537938608e-43,8.28817836642719e-42
99,Psma2,21.709366,2.432779,7.151615298616827e-43,2.2103206623472338e-41
100,Ndufa4,21.545721,2.3299775,3.3651355394343334e-42,1.012239968412734e-40
101,Cox4i1,21.502342,1.4731067,2.1052785732547987e-43,6.652916839639462e-42
102,Tpt1,21.451178,1.0045882,3.4056317184679734e-47,1.2520704847308727e-45
103,Atp5b,21.368633,1.4789735,3.5790676992015378e-43,1.1205337184420398e-41
104,Btf3,20.969398,2.3201568,4.620477711293247e-41,1.3536555794804432e-39
105,Sf3b5,20.888248,3.3800883,2.2448394083581443e-40,6.420000863065865e-39
106,Rpl3,20.870964,1.7812085,2.0386011634727572e-41,6.045939302917887e-40
107,Hint1,20.469135,1.9595932,1.9804915116322317e-40,5.683808547413931e-39
108,Krt8,20.442163,1.4498069,3.258772039109274e-42,9.83752739892111e-41
109,Rps21,20.257479,1.6955947,2.7787886738644063e-40,7.881018297724681e-39
110,Esd,20.257078,3.1604002,3.004938236298232e-39,8.171582963246004e-38
111,Eif4a1,20.195156,1.8668945,6.966215679145634e-40,1.9527390296608403e-38
112,Eif3h,20.109604,2.534793,2.1109749389813127e-39,5.782906184303515e-38
113,Prdx1,19.873848,1.8280083,8.054230834683779e-40,2.246531327856013e-38
114,Rps28,19.814709,2.0421233,5.245508666887426e-39,1.4162873400596053e-37
115,Psmb2,19.615784,2.7629132,2.91943576837501e-38,7.649919035920542e-37
